season,source,week,team,source_team_name,opponent,source_opponent_name,H,AB,R,HR,RBI,BB,SO,TB,AVG,NSB,IP,W,L,K,ERA,WHIP,QS,BSV,SVH,official_score_for,official_score_against,phase,round,tiebreak_winner,tiebreak_note
2023,yahoo,1,BB's Bold Team,BB's Bold Team,Dixon Cider,Dixon Cider,114,435,59,13,50,48,86,174,0.262,6,93.2,5,6,88,3.17,1.22,7,1,6,9,6,regular,,,
2023,yahoo,1,Dixon Cider,Dixon Cider,BB's Bold Team,BB's Bold Team,93,390,61,18,59,46,103,174,0.238,10,92.1,4,9,92,4.97,1.49,4,2,7,6,9,regular,,,
2023,yahoo,1,Goodyear Gila Monsters,Goodyear Gila Monsters,You Don't Kno Bo (2023),You Don't Kno Bo,110,424,51,12,57,55,109,173,0.259,7,97.2,6,5,113,3.69,1.31,5,2,7,2,13,regular,,,
2023,yahoo,1,Gunnarrhea,Rita's Favorite Team,Pat James's Swell Team,Pat James's Swell Team,113,426,63,16,54,39,102,180,0.265,12,92.1,6,6,111,3.51,1.20,6,0,5,8,5,regular,,,
2023,yahoo,1,John's Super Team,John's Super Team,Me So Heorny,Me so Randy,113,409,59,13,63,39,112,177,0.276,4,63.0,3,7,58,6.57,1.65,2,0,2,6,9,regular,,,
2023,yahoo,1,Mactown MacDaddies,Mactown MacDaddies,This Is Mizerable,Vladdys Hammer,124,403,74,18,61,39,84,208,0.308,5,117.2,10,8,117,3.98,1.22,9,1,6,11,5,regular,,,
2023,yahoo,1,Me So Heorny,Me so Randy,John's Super Team,John's Super Team,101,361,57,11,49,38,93,158,0.280,2,92.0,7,5,85,3.33,1.22,7,0,3,9,6,regular,,,
2023,yahoo,1,Pat James's Swell Team,Pat James's Swell Team,Gunnarrhea,Rita's Favorite Team,93,362,45,7,41,43,73,134,0.257,8,73.1,6,5,74,2.95,1.13,6,0,3,5,8,regular,,,
2023,yahoo,1,This Is Mizerable,Vladdys Hammer,Mactown MacDaddies,Mactown MacDaddies,92,372,59,17,46,44,91,164,0.247,6,70.2,6,1,80,6.24,1.50,3,0,7,5,11,regular,,,
2023,yahoo,1,You Don't Kno Bo (2023),You Don't Kno Bo,Goodyear Gila Monsters,Goodyear Gila Monsters,129,416,66,16,57,47,93,208,0.310,15,107.2,10,4,130,2.76,1.12,7,0,0,13,2,regular,,,
2023,yahoo,2,BB's Bold Team,BB's Bold Team,Mactown MacDaddies,Mactown MacDaddies,73,273,41,13,46,44,64,134,0.267,4,75.1,6,8,84,5.38,1.38,3,1,5,9,7,regular,,,
2023,yahoo,2,Dixon Cider,Dixon Cider,Goodyear Gila Monsters,Goodyear Gila Monsters,73,243,45,12,41,30,57,133,0.300,6,56.0,1,8,55,6.75,1.68,3,2,1,4,10,regular,,,
2023,yahoo,2,Goodyear Gila Monsters,Goodyear Gila Monsters,Dixon Cider,Dixon Cider,74,273,42,12,48,27,67,133,0.271,8,54.1,5,3,58,2.48,1.10,6,0,6,10,4,regular,,,
2023,yahoo,2,Gunnarrhea,Rita's Favorite Team,You Don't Kno Bo (2023),You Don't Kno Bo,63,264,39,10,31,26,68,106,0.239,9,73.0,3,4,82,4.44,1.41,5,1,4,9,7,regular,,,
2023,yahoo,2,John's Super Team,John's Super Team,This Is Mizerable,Vladdys Hammer,54,257,40,8,34,35,74,95,0.210,2,42.0,3,1,49,4.07,1.38,2,0,2,3,11,regular,,,
2023,yahoo,2,Mactown MacDaddies,Mactown MacDaddies,BB's Bold Team,BB's Bold Team,67,256,40,8,32,31,62,105,0.262,9,75.1,5,3,91,2.87,1.12,5,2,2,7,9,regular,,,
2023,yahoo,2,Me So Heorny,Me so Randy,Pat James's Swell Team,Pat James's Swell Team,75,286,44,11,47,26,81,125,0.262,5,73.0,6,2,73,1.73,1.16,9,0,4,8,5,regular,,,
2023,yahoo,2,Pat James's Swell Team,Pat James's Swell Team,Me So Heorny,Me so Randy,61,224,26,7,35,31,51,96,0.272,6,41.1,2,2,44,2.40,1.04,2,0,4,5,8,regular,,,
