week,team,opponent,AB,H,R,HR,RBI,BB,SO,NSB,AVG,TB,IP,ERA,WHIP,K,W,L,QS,NS,BAA,official_score_for,official_score_against
1,Dixon Cider,Gunnarrhea,447,96,65,17,61,62,123,5,0.215,172,99,3.18,1.081,127,9,6,4,0,0.188,9,7
1,Gunnarrhea,Dixon Cider,474,92,57,13,43,63,145,3,0.194,154,113.1,2.86,1.076,142,6,4,6,3,0.207,7,9
1,BTA Boyz,You Don't Know Bo,385,90,47,15,50,50,103,6,0.234,155,105,3.6,1.190,119,8,4,8,0,0.216,8,8
1,You Don't Know Bo,BTA Boyz,461,110,57,12,51,58,117,3,0.239,167,66,3.27,1.197,71,3,3,3,5,0.227,8,8
1,John's Super Team,BB's Bold Team,471,107,61,10,61,62,123,4,0.227,157,67.1,2.41,1.069,55,5,2,6,5,0.218,4.5,11.5
1,BB's Bold Team,John's Super Team,465,118,70,15,67,56,112,13,0.254,196,81.1,3.65,1.119,80,6,6,6,9,0.212,11.5,4.5
1,Mactown MacDaddies,Me So Heorny,435,100,65,27,67,52,119,5,0.230,195,77.1,5,1.397,80,3,4,3,4,0.257,8,8
1,Me So Heorny,Mactown MacDaddies,496,119,74,18,61,48,95,8,0.240,199,82.1,6.12,1.445,85,5,11,4,2,0.278,8,8
1,This Is Mizerable,Goodyear Gila Monsters,447,131,69,15,64,49,112,7,0.293,205,104.1,3.88,1.275,99,6,4,7,4,0.228,5.5,10.5
1,Goodyear Gila Monsters,This Is Mizerable,509,125,70,20,66,60,145,4,0.246,212,118,4.12,1.169,121,7,9,11,4,0.227,10.5,5.5
2,Gunnarrhea,This Is Mizerable,315,79,40,13,36,32,84,6,0.251,138,83.2,3.98,1.255,74,4,3,5,0,0.230,9.5,6.5
2,This Is Mizerable,Gunnarrhea,307,72,35,6,26,27,66,5,0.235,110,72,3,1.181,78,6,3,4,4,0.232,6.5,9.5
2,BB's Bold Team,Mactown MacDaddies,271,60,35,11,33,35,63,6,0.221,100,43.2,4.95,1.374,37,3,4,3,2,0.254,8.5,7.5
2,Mactown MacDaddies,BB's Bold Team,267,63,35,7,35,45,76,4,0.236,100,59.1,5.76,1.365,60,2,7,3,4,0.261,7.5,8.5
2,Dixon Cider,John's Super Team,300,66,43,11,36,52,67,15,0.220,112,64,3.8,1.219,67,2,4,5,2,0.214,7.5,8.5
2,John's Super Team,Dixon Cider,284,68,45,8,31,48,55,4,0.239,110,44.2,1.41,0.940,49,3,1,4,2,0.177,8.5,7.5
2,Goodyear Gila Monsters,BTA Boyz,322,89,50,14,52,47,77,20,0.276,155,65.1,5.23,1.423,75,4,6,5,1,0.271,8,8
2,BTA Boyz,Goodyear Gila Monsters,249,55,44,9,34,43,59,4,0.221,95,103.1,3.83,1.258,92,7,4,5,1,0.245,8,8
2,You Don't Know Bo,Me So Heorny,281,81,44,11,52,30,64,6,0.288,132,46.1,4.08,1.511,49,3,5,3,0,0.266,7.5,8.5
